run_id,query_id,metric_type,value,delta,compared_to_run_id,collected_at,window_start,window_end,engine,extra
d57a143d-25e2-4798-8d42-a65206efc178,22222222-2222-2222-2222-222222222222,domain_diversity,4,,,2025-10-25T00:56:49.473Z,2025-10-19T00:56:49.473Z,2025-10-25T00:56:49.473Z,,"{""perEngine"":{""perplexity"":4},""totalResults"":4}"
d57a143d-25e2-4798-8d42-a65206efc178,22222222-2222-2222-2222-222222222222,engine_overlap,0,,,2025-10-25T00:56:49.473Z,2025-10-19T00:56:49.473Z,2025-10-25T00:56:49.473Z,,"{""sharedCount"":0,""totalUrls"":4,""pairwise"":{},""engines"":[""perplexity""]}"
d57a143d-25e2-4798-8d42-a65206efc178,22222222-2222-2222-2222-222222222222,factual_alignment,1,,,2025-10-25T00:56:49.473Z,2025-10-19T00:56:49.473Z,2025-10-25T00:56:49.473Z,,"{""counts"":{""aligned"":4,""contradicted"":0,""unclear"":0,""not_applicable"":0},""annotatedCount"":4,""totalResults"":4}"
